"torus_rad [cm]","wire_wid [cm]","Freq [GHz]","dB(St11) []"
1.2,0.1,2.37,-11.6455226338197
1.2,0.1,2.38,-11.7228759959686
1.2,0.1,2.39,-11.7831596250848
1.2,0.1,2.4,-11.8258875210699
1.2,0.1,2.41,-11.8508409566837
1.2,0.1,2.42,-11.8580778393686
1.2,0.1,2.43,-11.8479295065154
1.2,0.1,2.44,-11.8209852509746
1.2,0.1,2.45,-11.7780660075206
1.2,0.1,2.46,-11.7201895422382
1.2,0.1,2.47,-11.6485300514354
1.2,0.1,2.48,-11.5643752463033
1.2,0.1,2.49,-11.4690838028103
1.2,0.1,2.5,-11.3640455807488
1.2,0.1,2.51,-11.2506463784892
1.2,0.1,2.52,-11.1302383078473
1.2,0.1,2.53,-11.0041162414061
1.2,0.1,2.54,-10.87350026448
1.2,0.1,2.55,-10.7395236837113
1.2,0.1,2.56,-10.6032259045432
1.2,0.1,2.57,-10.4655493727335
1.2,0.1,2.58,-10.3273397536888
1.2,0.1,2.59,-10.1893485688432
1.2,0.1,2.6,-10.0522375944132
1.2,0.1,2.61,-9.91658443361699
1.2,0.1,2.62,-9.78288878351867
1.2,0.1,2.63,-9.65157902202091
1.2,0.1,2.64,-9.52301883341981
1.2,0.1,2.65,-9.3975136697907
1.2,0.1,2.66,-9.27531690987312
1.2,0.1,2.67,-9.15663562797284
1.2,0.1,2.68,-9.04163592429443
1.2,0.1,2.69,-8.93044779693522
1.2,0.1,2.7,-8.8231695563784
1.2,0.1,2.71,-8.71987179744271
1.2,0.1,2.72,-8.62060095277145
1.2,0.1,2.73,-8.52538245732199
1.2,0.1,2.74,-8.4342235559592
1.2,0.1,2.75,-8.34711578695562
1.2,0.1,2.76,-8.26403717357232
1.2,0.1,2.77,-8.18495415439953
1.2,0.1,2.78,-8.10982328111595
1.2,0.1,2.79,-8.03859271002836
1.2,0.1,2.8,-7.9712035113523
1.2,0.1,2.81,-7.90759081780851
1.2,0.1,2.82,-7.84768483181739
1.2,0.1,2.83,-7.79141170842196
1.2,0.1,2.84,-7.73869432908579
1.2,0.1,2.85,-7.6894529797068
1.2,0.1,2.86,-7.64360594456257
1.2,0.1,2.87,-7.60107002645122
1.2,0.1,2.88,-7.56176100200525
1.2,0.1,2.89,-7.52559402002017
1.2,0.1,2.9,-7.49248394964356
1.2,0.1,2.91,-7.46234568439839
1.2,0.1,2.92,-7.43509440725403
1.2,0.1,2.93,-7.41064582129732
1.2,0.1,2.94,-7.38891634998149
1.2,0.1,2.95,-7.36982331043286
1.2,0.1,2.96,-7.35328506286399
1.2,0.1,2.97,-7.33922113876826
1.2,0.1,2.98,-7.32755235024786
1.2,0.1,2.99,-7.31820088254705
1.2,0.1,3,-7.31109037162043
